First_Name,DOI,Researcher ID,Annee_Bibliographique,Year of first pub,gender,Paper ID,Author order,nb_auteur,Discipline of paper,Specialty of paper,Relative citation rate,ERegroupement,disc_origin,spec_origin,Country of origin
yini,10.1142/s0217984915500633,11284531,2015,2015,UNK,54741744,2,4,Physics,General Physics,0.123,China,Physics,General Physics,China
deen,10.1080/13510347.2017.1289179,38492177,2017,2010,UNK,61002436,2,3,Social Sciences,Political Science and Public Administration,0.884,United States,Professional Fields,Communication,nan
deen,10.1177/0002716214563921,38492177,2015,2010,UNK,54550100,1,3,Social Sciences,General Social Sciences,0.88,United States,Professional Fields,Communication,nan
deen,10.1080/1369118x.2014.952659,38492177,2015,2010,UNK,53810778,1,2,Social Sciences,Sociology,8.526,United States,Professional Fields,Communication,nan
deen,10.1177/0002764213479373,38492177,2013,2010,UNK,50650918,3,6,Social Sciences,General Social Sciences,1.247,United States,Professional Fields,Communication,nan
chris,10.1177/0002716215569220,26544030,2015,2015,M,54550104,4,5,Social Sciences,General Social Sciences,4.109,United States,Social Sciences,General Social Sciences,United States
chris,10.1089/cyber.2013.0117,26543536,2014,2009,M,52168246,3,5,Professional Fields,Communication,0.65,United States,Social Sciences,Political Science and Public Administration,United States
chris,10.1080/1369118x.2012.756051,26543536,2013,2009,M,50486848,9,9,Social Sciences,Sociology,5.495,United States,Social Sciences,Political Science and Public Administration,United States
stephen p.,10.1177/1461444816660783,6113116,2018,2008,M,62071989,2,2,Professional Fields,Communication,1.628,Canada,Clinical Medicine,Psychiatry,Canada
stephen p.,10.1177/0743558416673717,6113116,2017,2008,M,61578913,2,6,Psychology,Developmental & Child Psychology,0.0,Canada,Clinical Medicine,Psychiatry,Canada
stephen p.,10.1089/cyber.2014.0407,6113116,2015,2008,M,54695671,1,2,Professional Fields,Communication,1.935,Canada,Clinical Medicine,Psychiatry,Canada
stephen p.,10.1016/j.jadohealth.2012.01.013,6113116,2012,2008,M,49244741,1,4,Clinical Medicine,Pediatrics,2.334,Canada,Clinical Medicine,Psychiatry,Canada
stephen p.,10.1542/peds.2010-2317,6113116,2011,2008,M,46307163,1,4,Clinical Medicine,Pediatrics,4.294,Canada,Clinical Medicine,Psychiatry,Canada
margaret l.,10.1037/met0000091,26227818,2016,2008,F,59766428,1,7,Psychology,Miscellaneous Psychology,4.426,Australia,Psychology,Behavioral Science & Complementary Psychology,United States
margaret l.,10.1371/journal.pone.0155885,26227818,2016,2008,F,57131375,4,9,Biomedical Research,General Biomedical Research,0.679,Australia,Psychology,Behavioral Science & Complementary Psychology,United States
margaret l.,10.1177/1073191113514104,26227818,2014,2008,F,52541878,1,9,Psychology,Clinical Psychology,2.08,United States,Psychology,Behavioral Science & Complementary Psychology,United States
bente,10.1177/0267323114531383,20993379,2014,2014,F,53675425,2,2,Professional Fields,Communication,2.924,Norway,Professional Fields,Information Science & Library Science,Norway
bente,10.1108/ajim-09-2013-0093,20993379,2014,2014,F,53184812,1,3,Professional Fields,Information Science & Library Science,1.725,Norway,Professional Fields,Information Science & Library Science,Norway
anders olof,10.1177/1461444811422894,22169624,2012,2011,M,48807899,1,2,Professional Fields,Communication,11.087,Sweden,Professional Fields,Communication,nan
andrew,10.1111/dar.12141,5778727,2014,2012,M,53612586,2,2,Clinical Medicine,Addictive Diseases,2.916,Australia,Clinical Medicine,Addictive Diseases,Australia
brad,10.1111/dar.12141,6162391,2014,2012,M,53612586,1,2,Clinical Medicine,Addictive Diseases,2.916,Australia,Clinical Medicine,Addictive Diseases,Australia
sotiris,10.1371/journal.pone.0186836,31108046,2017,2017,M,61670332,5,6,Biomedical Research,General Biomedical Research,0.0,Greece,Biomedical Research,General Biomedical Research,Greece
dimitris,10.1371/journal.pone.0186836,42538953,2017,2017,M,61670332,2,6,Biomedical Research,General Biomedical Research,0.0,United States,Biomedical Research,General Biomedical Research,United States
alton y. k.,10.1177/0002764217717561,32820399,2017,2003,M,61156890,1,4,Social Sciences,General Social Sciences,0.0,Singapore,Professional Fields,Information Science & Library Science,nan
alton y. k.,10.1108/ajim-01-2017-0026,32820399,2017,2003,M,61652438,2,3,Professional Fields,Information Science & Library Science,0.589,Singapore,Professional Fields,Information Science & Library Science,nan
kim,10.1177/0959353517726705,46116384,2018,2007,UNI,62262430,1,2,Psychology,Miscellaneous Psychology,5.026,Australia,Social Sciences,Miscellaneous Social Sciences,nan
ann,10.1108/oir-02-2016-0038,20761448,2016,2008,F,59208392,2,3,Professional Fields,Information Science & Library Science,0.6,Canada,Professional Fields,Management,Canada
joke,10.1177/1367549415603381,16722617,2016,2006,M,57180020,2,2,Social Sciences,General Social Sciences,0.466,Netherlands,Professional Fields,Communication,nan
lei,10.1177/1077699016679976,7644480,2017,2012,M,61730127,2,2,Professional Fields,Communication,2.671,United States,Professional Fields,Communication,United States
lei,10.1177/1077699016639231,7644480,2016,2012,M,57081201,1,5,Professional Fields,Communication,2.557,United States,Professional Fields,Communication,United States
lei,10.1109/taffc.2015.2444371,7644328,2016,2000,M,56669510,8,11,Engineering and Technology,Computers,0.681,China,Clinical Medicine,Neurology & Neurosurgery,nan
lei,10.1111/jcc4.12062,7644480,2014,2012,M,52407758,2,2,Professional Fields,Communication,2.274,United States,Professional Fields,Communication,United States
lei,10.1111/jcom.12089,7644480,2014,2012,M,52399678,2,4,Professional Fields,Communication,4.223,United States,Professional Fields,Communication,United States
prakash,10.1177/1077699016639231,5640178,2016,2003,M,57081201,5,5,Professional Fields,Communication,2.557,United States,Physics,Acoustics,nan
jing,10.1007/s11042-014-2008-0,50676390,2015,2015,M,54066906,1,6,Engineering and Technology,Electrical Engineering & Electronics,0.564,China,Engineering and Technology,Electrical Engineering & Electronics,China
mohamed atef,10.1016/j.eswa.2017.01.010,22810015,2017,2017,M,59841832,1,3,Professional Fields,Management,1.141,Egypt,Engineering and Technology,Computers,Egypt
mohamed atef,10.1016/j.knosys.2016.11.009,22810015,2017,2017,M,59747558,1,3,Engineering and Technology,Computers,0.342,Egypt,Engineering and Technology,Computers,Egypt
jason b.,10.1111/acer.12640,40454195,2015,2013,M,54322111,2,4,Clinical Medicine,Addictive Diseases,2.183,United States,Professional Fields,Education,United States
kar-hai,10.1093/ntr/ntw329,23103566,2017,2015,nan,61279093,2,4,Health,Public Health,3.828,United States,Biomedical Research,General Biomedical Research,United States
kar-hai,10.2196/jmir.7634,23103566,2017,2015,nan,61281970,3,5,Health,Health Policy & Services,3.589,United States,Biomedical Research,General Biomedical Research,United States
kar-hai,10.2196/jmir.7022,23103566,2017,2015,nan,61471862,4,4,Health,Health Policy & Services,1.595,United States,Biomedical Research,General Biomedical Research,United States
kar-hai,10.1371/journal.pone.0145387,23103566,2015,2015,nan,55939978,1,9,Biomedical Research,General Biomedical Research,0.817,United States,Biomedical Research,General Biomedical Research,United States
kar-hai,10.1136/bmjopen-2015-007654,23103566,2015,2015,nan,55650748,1,2,Clinical Medicine,General & Internal Medicine,0.095,United States,Biomedical Research,General Biomedical Research,United States
brian a.,10.1080/10810730.2015.1095814,47592329,2016,2004,M,56651900,1,5,Professional Fields,Communication,2.557,United States,Clinical Medicine,General & Internal Medicine,nan
brian a.,10.1111/acer.12640,47592329,2015,2004,M,54322111,1,4,Clinical Medicine,Addictive Diseases,2.183,United States,Clinical Medicine,General & Internal Medicine,nan
brian a.,10.1136/tobaccocontrol-2011-050253,47592329,2013,2004,M,50946087,3,3,Health,Public Health,3.883,United States,Clinical Medicine,General & Internal Medicine,nan
arkadiusz,10.1073/pnas.1602803113,5048429,2016,2014,M,57658503,2,3,Biomedical Research,General Biomedical Research,3.203,Denmark,Biomedical Research,General Biomedical Research,Denmark
sune,10.1073/pnas.1602803113,33798083,2016,2003,UNK,57658503,3,3,Biomedical Research,General Biomedical Research,3.203,Denmark,Physics,General Physics,nan
andrew,10.1080/13658816.2013.825724,10088908,2013,2008,M,51345753,2,4,Social Sciences,Geography,2.344,United States,Social Sciences,Planning & Urban Studies,United Kingdom
